player_id,full_name,current_rank,total_prize,country
126402,"Denolly, Corentin",442,172245,France
100097,"Moroni, Gian Marco",645,296139,Italy
63090,"Fatic, Nerman",194,213044,Bosnia & Herzegovina
158636,"Prisăcariu, Andreea",319,85439,Romania
329533,"Vilicich, Bautista",819,8267,Argentina
274685,"Toth, Amarissa Kiara",443,44999,Hungary
238735,"M Rifqi, Fitriadi",555,17365,Indonesia
43748,"Thiem, Dominic",92,25120402,Austria
383652,"Pridankina, Elena",327,29313,Russia
170946,"Bergs, Zizou",123,654679,Belgium
48318,"Martincova, Tereza",155,1946837,Czech Republic
342875,"Pavlova, Kira",462,17578,Russia
318575,"Shnaider, Diana",73,506127,Russia
197535,"Hontama, Mai",119,556025,Japan
99131,"Bucsa, Cristina",67,1398872,Spain
247791,"Parry, Diane",62,1489183,France
58515,"Collins, Danielle",48,5785598,USA
40994,"Saville, Daria",148,4460503,Australia
306421,"Fruhvirtova, Linda",137,1043106,Czech Republic
311012,"Krueger, Ashlyn",70,696010,USA
41404,"Watson, Heather",131,4517649,United Kingdom
67757,"Pera, Bernarda",79,3235568,USA
303360,"Falei, Aliona",203,40137,Belarus
45545,"Putintseva, Yulia",80,5849846,Kazakhstan
273308,"Nitture, Akanksha Dileep",1323,8810,India
272473,"Bhamidipaty, Shrivalli Rashmikaa",482,24043,India
302007,"Chaudhari, Vaidehi",498,33033,India
52388,"Hesse, Amandine",299,775028,France
195315,"Glushko, Lina",358,96298,Israel
405545,"Tsao, Chia Yi",506,27618,Chinese Taipei
231208,"Park, Sohyun",295,71732,South Korea
250934,"Sakellaridi, Sapfo",281,108672,Greece
71284,"Bains, Naiktha",453,381529,United Kingdom
51651,"Rosatello, Camilla",317,213979,Italy
46528,"Perrin, Conny",356,535398,Switzerland
47985,"Marcinkevica, Diana",312,295189,Latvia
50901,"Popko, Dmitry",309,515682,Kazakhstan
275105,"Bouzas Maneiro, Jessica",124,307699,Spain
227014,"Siskova, Anna",376,134859,Czech Republic
49171,"Parrizas Diaz, Nuria",129,1369534,Spain
447324,"Gae, Mara",1050,6535,Romania
160364,"Ghioroaie, Ylona-Georgiana",381,96953,Romania
90814,"Teichmann, Jil",189,2925132,Switzerland
129534,"Hrunčákova, Viktória",174,2205959,Slovakia
207593,"Brancaccio, Nuria",240,186509,Italy
195334,"Zavatska, Katarina",187,703276,Ukraine
136042,"Fritz, Taylor",10,12361353,USA
399603,"Romano, Filippo",1062,8183,Italy
377363,"Serafini, Marcello",470,45511,Italy
72230,"Celikbilek, Altug",365,413639,Turkey
18298,"Zvonareva, Vera",275,13715334,Russia
197535,"Hontama, Mai",119,556025,Japan
47810,"Khromacheva, Irina",549,840915,Russia
108709,"Majchrzak, Kamil",652,1632625,Poland
168420,"Andrade, Andres",595,30838,Ecuador
478938,"Samsonova, Laura",930,3036,Czech Republic
289156,"Zucchini, Arianna",577,19832,Italy
115463,"Tiurnev, Evgenii",515,169746,Russia
129368,"Koepfer, Dominik",58,2423623,Germany
273680,Flavio Cobolli,69,801778,Italy
192013,"Auger-Aliassime, Felix",29,10166964,Canada
131442,"Mmoh, Michael",122,1775118,USA
163480,"Bublik, Alexander",21,5125443,Kazakhstan
64580,"Ćorić, Borna",31,9947986,Croatia
163480,"Bublik, Alexander",21,5125443,Kazakhstan
58369,"Bolt, Alex",264,1316051,Australia
46390,"Uchiyama, Yasutaka",245,1215823,Japan
66874,"Imai, Shintaro",644,116542,Japan
334293,"Quinn, Ethan",287,190772,USA
36595,"Kudla, Denis",169,3780958,USA
63642,"Kwiatkowski, Thai-Son",294,428698,USA
210490,"Kypson, Patrick",150,322030,USA
290569,"Vandecasteele, Quinn",565,30844,USA
210490,"Kypson, Patrick",144,322030,USA
235576,"Nakashima, Brandon",90,2697127,USA
235576,"Nakashima, Brandon",90,2697127,USA
51345,"Damm Jr, Martin",213,162535,USA
197446,"Naw, Hazem",348,38127,Syria
235576,"Nakashima, Brandon",90,2697127,USA
36300,"Travaglia, Stefano",214,1959394,Italy
209103,"Molleker, Rudolf",185,477749,Germany
264978,"Pucinelli de Almeida, Matheus",315,192868,Brazil
69500,"Mager, Gianluca",262,1332329,Italy
76515,"Gakhov, Ivan",176,323998,Russia
196122,"Ugo Carabelli, Camilo",131,445947,Argentina
196122,"Ugo Carabelli, Camilo",131,445947,Argentina
264978,"Pucinelli de Almeida, Matheus",315,192868,Brazil
172590,"Burrage, Jodie",86,741256,United Kingdom
256104,"Volynets, Katie",112,1016675,USA
19546,"Pavlyuchenkova, Anastasia",24,11284293,Russia
50641,"Vekić, Donna",31,5972094,Croatia
227431,"Wang, Xinyu",42,2015161,China
45584,"Zhu, Lin",58,2606738,China
67759,"Alexandrova, Ekaterina",17,4928632,Russia
